"Status","Name","Duration in ms","Description"
"passed","webshop.FilterSidebarTests.can_filter_by_blazers","3521",""
"passed","webshop.LoginFormTests.can_login_with_valid_credentials","3779",""
"passed","webshop.ShopProductTests.can_add_to_cart_shirts_men","5224",""
"passed","webshop.ShopProductTests.can_shop_little_ones_things","12471",""
"passed","webshop.ShopProductTests.can_open_tab","3437",""
"failed","webshop.FirstPageTests.can_access_slider_links","4527",""
"passed","webshop.ShopProductTests.can_add_to_wishlist_men_cloths","10494",""
"passed","webshop.RegisterFormTests.can_register_with_valid_credentials","3502",""
"passed","webshop.ShopProductTests.can_add_to_cart_pants","5334",""
"passed","webshop.SearchProductTests.can_search_by_name","2128",""
"passed","webshop.LoginFormTests.click_login_links","596",""
"failed","webshop.FirstPageTests.can_access_pages_from_promos","4579",""
"passed","webshop.SearchProductTests.can_search_by_name","2301",""
"passed","webshop.ShopProductTests.can_add_a_review_to_books","7362",""
"failed","webshop.ShopProductTests.can_view_old_price_on_sale","6066",""
"failed","webshop.ShopProductTests.verify_success_add_to_cart_msg","4256",""
"passed","webshop.FilterSidebarTests.can_filter_by_price_kitchen_devices","4102",""
"passed","webshop.MenuItemsTests.can_access_menu","14689",""
"passed","webshop.ShopProductTests.can_delete_items_from_cart","9492",""
"passed","webshop.LoginFormTests.cannot_login_without_required_credentials","936",""
"passed","webshop.LoginFormTests.cannot_login_with_wrong_password","1637",""
"passed","webshop.ShopProductTests.can_change_the_quantity","4407",""
"passed","webshop.LoginFormTests.can_logout","1334",""
"passed","webshop.RegisterFormTests.can_register_with_valid_credentials","3532",""
